# x_m,y_m,w_tr_right_m,w_tr_left_m
446.729660,70.708232,8.468325,8.675195
450.007690,66.932507,8.461563,8.672013
453.282115,63.153723,8.456395,8.669226
456.553174,59.371951,8.449249,8.664440
459.821947,55.587721,8.444083,8.661651
463.089626,51.801622,8.437323,8.658467
466.357397,48.014240,8.432158,8.655678
469.626452,44.226163,8.425399,8.652493
472.897978,40.437979,8.420235,8.649702
476.173164,36.650276,8.414686,8.645308
479.453201,32.863642,8.407930,8.642120
482.739232,29.078723,8.402767,8.639328
486.030863,25.298246,8.396012,8.636139
489.325811,21.527484,8.390850,8.633346
492.621676,17.771867,8.384097,8.630156
495.916059,14.036826,8.378550,8.625759
499.199430,10.315301,8.373390,8.622964
502.435683,6.553688,8.366639,8.619772
505.582527,2.687547,8.359503,8.614975
508.597667,-1.347560,8.274978,8.427044
511.427513,-5.610669,8.318803,8.411061
513.865869,-10.087802,8.703193,8.846028
515.596949,-14.712550,8.558055,9.142310
516.302569,-19.417358,8.383316,9.299150
515.667254,-24.134773,8.355262,9.287430
513.738692,-28.811490,8.390634,9.238136
511.289884,-33.422448,8.424392,9.188468
509.065573,-37.953878,8.459712,9.139227
507.067782,-42.443491,8.495007,9.090012
505.035323,-46.943165,8.529054,9.042043
502.921072,-51.463565,8.564297,8.992879
500.763398,-55.998928,8.597918,8.943348
498.600894,-60.543452,8.633108,8.894237
496.471100,-65.091299,8.668273,8.845151
494.379678,-69.635602,8.701809,8.795705
492.295406,-74.168300,8.737305,8.748277
490.185008,-78.681265,8.770787,8.698885
488.017926,-83.167947,8.805846,8.649904
485.845362,-87.669216,8.839271,8.600570
483.812605,-92.280508,8.874277,8.551643
481.909508,-96.978539,8.587444,8.727107
479.568270,-101.317406,8.070899,9.062677
476.257135,-104.848144,8.449263,9.099958
472.060293,-107.525965,8.823339,8.912823
467.579086,-109.908679,8.927317,8.582129
463.052021,-112.056674,8.483242,8.902903
458.378148,-113.586912,7.952440,9.322337
453.543824,-114.460513,7.950226,9.332505
448.596360,-114.868725,8.008784,9.295823
443.584118,-115.006756,8.067389,9.259094
438.555290,-115.069152,8.126405,9.223943
433.540728,-115.182037,8.183527,9.186708
428.539109,-115.344626,8.242274,9.149837
423.545620,-115.542349,8.301069,9.112918
418.555446,-115.760637,8.360280,9.077572
413.564320,-115.986157,8.419171,9.040557
408.571211,-116.212922,8.476516,9.003099
403.576286,-116.437651,8.535499,8.965993
398.579712,-116.657069,8.594904,8.930452
393.581657,-116.867899,8.653982,8.893251
388.582287,-117.066866,8.711503,8.855616
383.581771,-117.250693,8.770671,8.818325
378.580275,-117.416104,8.830269,8.782591
373.577968,-117.559825,8.889531,8.745205
368.575273,-117.684320,8.947228,8.707396
363.573436,-117.810492,9.006580,8.669920
358.573870,-117.962945,9.066369,8.633996
353.577988,-118.166280,9.125814,8.596426
348.587072,-118.442961,9.183684,8.558444
343.600956,-118.791361,9.243615,8.522378
338.618562,-119.194671,9.303196,8.484672
333.638797,-119.635845,9.303228,8.478674
328.660621,-120.098684,9.275109,8.488895
323.683608,-120.576451,9.247003,8.499102
318.707714,-121.068336,9.217290,8.508928
313.732901,-121.573618,9.189215,8.519104
308.759131,-122.091579,9.161155,8.529266
303.786367,-122.621500,9.133109,8.539414
298.814570,-123.162661,9.103459,8.549176
293.843703,-123.714343,9.075444,8.559293
288.873728,-124.275827,9.047836,8.570991
283.904607,-124.846393,9.019849,8.581079
278.936301,-125.425322,8.991877,8.591152
273.968774,-126.011895,8.962307,8.600835
269.001987,-126.605393,8.934366,8.610878
264.035902,-127.205096,8.906439,8.620906
259.070482,-127.810285,8.878527,8.630919
254.105689,-128.420240,8.858825,8.624768
249.141484,-129.034243,8.843614,8.612137
244.177829,-129.651583,8.826795,8.599125
239.214684,-130.271780,8.811196,8.584893
234.252002,-130.894588,8.795988,8.572258
229.289736,-131.519775,8.780782,8.559622
224.327841,-132.147107,8.765578,8.546985
219.366271,-132.776351,8.750374,8.534346
214.404980,-133.407273,8.734780,8.520109
209.443921,-134.039641,8.719579,8.507468
204.483049,-134.673220,8.702775,8.494441
199.522318,-135.307779,8.687577,8.481796
194.561681,-135.943082,8.672381,8.469150
189.601092,-136.578898,8.656792,8.454909
184.640506,-137.214993,8.641598,8.442260
179.679876,-137.851133,8.626406,8.429610
174.719157,-138.487085,8.611215,8.416959
169.758302,-139.122616,8.596025,8.404306
164.797265,-139.757493,8.578840,8.389672
159.836000,-140.391483,8.563654,8.377016
154.874494,-141.024502,8.548469,8.364359
149.912787,-141.656712,8.533285,8.351700
144.950923,-142.288302,8.517705,8.337449
139.988949,-142.919460,8.502524,8.324788
135.026909,-143.550374,8.487345,8.312125
130.064850,-144.181233,8.470568,8.299070
125.102817,-144.812225,8.455392,8.286404
120.140854,-145.443538,8.439818,8.272147
115.179008,-146.075360,8.424644,8.259479
110.217325,-146.707881,8.409472,8.246809
105.255848,-147.341287,8.394302,8.234137
100.294625,-147.975768,8.379133,8.221464
95.333700,-148.611512,8.363564,8.207202
90.373118,-149.248706,8.346803,8.194132
85.412926,-149.887540,8.331638,8.181454
80.453168,-150.528201,8.316475,8.168775
75.493891,-151.170878,8.301314,8.156094
70.535108,-151.815622,8.285751,8.141826
65.576528,-152.461080,8.270592,8.129143
60.617677,-153.105079,8.255434,8.116458
55.658080,-153.745437,8.240279,8.103772
50.697260,-154.379970,8.223534,8.090686
45.734742,-155.006495,8.207977,8.076412
40.770052,-155.622830,8.192826,8.063721
35.802712,-156.226791,8.177676,8.051028
30.832248,-156.816195,8.162528,8.038334
25.859299,-157.395014,8.146975,8.024056
20.890389,-157.999745,8.131830,8.011359
15.933980,-158.677586,8.116686,7.998660
10.998535,-159.475740,8.175121,7.966078
6.114664,-160.475734,8.936973,7.753117
1.794751,-162.498587,8.615230,7.812347
-1.302641,-166.146379,7.929391,8.070609
-3.262025,-170.787799,8.253603,8.162042
-4.432398,-175.930778,8.854087,8.488306
-4.705520,-181.081151,8.760651,8.707032
-3.538164,-185.732714,8.635113,8.458689
-0.713867,-189.577217,9.350909,8.130695
3.058649,-192.841074,9.171509,8.113211
7.115476,-195.781772,9.079861,8.113377
11.317091,-198.503793,8.990012,8.113734
15.609251,-201.086731,8.898723,8.113541
19.937713,-203.610185,8.809229,8.113542
24.252372,-206.147835,8.718713,8.114565
28.539880,-208.720799,8.627976,8.113821
32.806137,-211.322670,8.539030,8.113274
37.057213,-213.946801,8.448668,8.112154
41.299179,-216.586544,8.360501,8.112817
45.538102,-219.235253,8.270522,8.111314
49.780053,-221.886278,8.182329,8.110014
54.031101,-224.532973,8.092743,8.108119
58.296752,-227.169318,8.004938,8.106431
62.551989,-229.823306,7.903399,8.184105
66.726299,-232.573625,7.792504,8.324831
70.745462,-235.503096,7.681037,8.464141
74.535256,-238.694541,8.043230,8.642882
78.037796,-242.209659,8.536237,8.828032
